age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
25,Self-emp-inc,158751,Assoc-voc,11,Never-married,Transport-moving,Unmarried,White,Male,0,0,55,United-States,0
28,Private,183639,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,0
33,Private,78707,11th,7,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States,0
24,Private,216563,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,0
19,Self-emp-not-inc,45546,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,16,United-States,0
51,Private,145409,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,48,United-States,1
22,Private,240817,HS-grad,9,Never-married,Sales,Own-child,White,Female,2597,0,40,United-States,0
37,Federal-gov,45937,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
19,Private,197384,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,10,United-States,0
66,Self-emp-not-inc,167687,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1409,0,50,United-States,0
29,Federal-gov,224858,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,0
31,Federal-gov,101345,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,0
60,Private,230545,7th-8th,4,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,Cuba,0
38,Private,136629,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Iran,0
67,Private,197865,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
39,Private,74163,12th,8,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
38,Private,351299,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States,0
40,Self-emp-not-inc,188436,HS-grad,9,Separated,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,0
49,Self-emp-not-inc,175622,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
31,State-gov,110714,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,37,United-States,0
34,Private,115488,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
33,Private,219034,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
27,Private,134566,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
49,Self-emp-inc,330874,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,1
59,Self-emp-not-inc,144071,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,2580,0,15,El-Salvador,0
45,Private,1366120,Assoc-voc,11,Divorced,Other-service,Not-in-family,White,Female,0,0,8,United-States,0
40,Private,160369,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,1
32,Private,259719,Some-college,10,Divorced,Handlers-cleaners,Unmarried,Black,Male,0,0,40,Nicaragua,0
42,Private,163003,Bachelors,13,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0
44,Private,173704,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
62,Local-gov,208266,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,0
47,Private,274883,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
41,Local-gov,195897,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
42,Federal-gov,198316,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
61,Private,273803,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
40,Self-emp-not-inc,30759,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0
33,Private,170769,Doctorate,16,Divorced,Sales,Not-in-family,White,Male,99999,0,60,United-States,1
39,Private,150061,Masters,14,Divorced,Exec-managerial,Unmarried,Black,Female,15020,0,60,United-States,1
22,Private,199555,Some-college,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,25,United-States,0
32,Private,198183,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,0
44,State-gov,199551,11th,7,Separated,Tech-support,Not-in-family,Black,Male,0,0,40,United-States,0
34,Self-emp-inc,175761,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
43,Private,145441,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,1
54,Self-emp-not-inc,230951,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
39,Private,80410,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
38,State-gov,103925,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,2036,0,20,United-States,0
23,Private,161478,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0
41,Private,176452,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,Peru,0
31,Local-gov,236487,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Germany,0
32,Private,53206,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,1
37,Private,200153,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
53,Private,223660,HS-grad,9,Widowed,Machine-op-inspct,Not-in-family,White,Male,6849,0,40,United-States,0
35,Private,105813,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States,1
47,Federal-gov,117628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
39,Private,380614,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,1
61,Private,179743,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,20,United-States,0
33,Private,150570,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,43,United-States,1
50,Private,158294,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,3103,0,40,United-States,1
39,Private,102953,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,55,United-States,1
34,Private,56883,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
34,Self-emp-inc,202450,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
48,Private,326048,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Male,0,0,44,United-States,0
23,State-gov,283499,HS-grad,9,Never-married,Protective-serv,Own-child,White,Male,0,0,40,United-States,0
39,Self-emp-inc,135500,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,1
38,Private,226357,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
28,Private,184078,12th,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
34,Private,205733,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
47,Private,249935,11th,7,Divorced,Craft-repair,Own-child,White,Male,0,0,8,United-States,0
41,Private,206948,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
25,Private,164488,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
53,Private,209906,1st-4th,2,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,35,Puerto-Rico,0
43,Private,106760,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,50,Canada,1
33,Federal-gov,88913,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,0
45,Self-emp-inc,139268,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1
59,Private,115414,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
39,Private,114591,Some-college,10,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,0
49,Federal-gov,195437,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,60,United-States,1
39,Local-gov,166497,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,1
64,Self-emp-not-inc,149698,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
25,Private,126974,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
49,Local-gov,304246,Masters,14,Separated,Prof-specialty,Unmarried,White,Female,0,0,70,United-States,0
37,Private,126708,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,0
46,Local-gov,230979,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,4787,0,25,United-States,1
59,Private,247187,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
37,Private,36425,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
25,Private,176729,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,1
29,Private,188729,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States,0
61,Private,223133,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,0,40,United-States,0
47,Self-emp-inc,156728,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0
32,Private,396745,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,1
33,Private,296538,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,1
65,Self-emp-not-inc,31740,Some-college,10,Widowed,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,0
40,Private,93955,Some-college,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,0
24,Private,388885,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,0
21,Private,54472,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
29,Self-emp-inc,87745,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,0
43,Private,336513,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,United-States,1
46,Local-gov,354962,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,0
21,Private,304302,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
39,Private,167482,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,1
59,Private,188041,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,0
46,Private,345073,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,1
47,Private,196707,Prof-school,15,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
27,State-gov,23740,HS-grad,9,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,38,United-States,1
29,Federal-gov,107411,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
63,Self-emp-not-inc,117681,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
28,Private,115438,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
31,Private,195136,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,32,United-States,0
29,Private,34796,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
21,Private,118023,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,24,United-States,0
37,Self-emp-not-inc,154641,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,2105,0,50,United-States,0
35,Private,112264,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
47,Federal-gov,160647,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
46,Private,73434,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,0
37,Private,183800,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States,1
43,Private,173316,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
23,Private,291248,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States,0
35,Self-emp-not-inc,160192,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
34,Local-gov,106169,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0
55,Private,113912,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,20,United-States,0
37,Self-emp-inc,97986,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,68,United-States,0
59,Private,177120,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
49,State-gov,131302,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,44,United-States,0
36,Private,90159,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32,United-States,1
61,Private,83045,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
44,Private,120277,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,38,United-States,1
46,Private,128047,Some-college,10,Separated,Sales,Not-in-family,White,Male,0,0,42,United-States,0
30,Private,184687,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,30,United-States,0
37,Private,167396,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Guatemala,0
37,Private,208391,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
29,Private,161478,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Japan,0
29,Private,87507,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,60,India,0
48,Private,139290,10th,6,Separated,Machine-op-inspct,Own-child,White,Female,0,0,48,United-States,0
56,Private,105281,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,1974,40,United-States,0
24,Private,88095,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,24,Mexico,0
48,Private,192791,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
33,Self-emp-not-inc,155151,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1740,50,United-States,0
23,Private,239663,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,2597,0,50,United-States,0
38,Private,165302,Some-college,10,Divorced,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States,0
46,Private,195023,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,0,0,40,Columbia,0
59,Private,656036,Bachelors,13,Separated,Adm-clerical,Unmarried,White,Male,0,0,60,United-States,0
43,Self-emp-not-inc,174090,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,1
38,Private,76878,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,5178,0,40,United-States,1
28,Private,346406,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1672,50,United-States,0
19,Private,201743,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,15,United-States,0
22,Private,305781,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,45,Canada,0
45,Self-emp-not-inc,102771,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
25,Private,109009,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
20,Private,129240,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
48,Private,325372,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Portugal,0
21,Private,96844,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0
32,Private,234755,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,0
59,Private,170988,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,0
43,State-gov,255835,Some-college,10,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,0
49,Self-emp-not-inc,377622,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,0
59,Self-emp-not-inc,170411,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
42,Private,235786,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,1
20,Private,211049,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,30,United-States,0
26,Private,190469,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,219483,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
62,Self-emp-not-inc,115176,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,65,United-States,0
40,Private,202565,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,0
40,Federal-gov,544792,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
35,Private,253006,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,38,United-States,1
26,Private,67240,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
30,Private,75167,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1
35,Private,148581,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,0
90,Local-gov,153602,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,6767,0,40,United-States,0
22,Private,324922,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,0
28,Private,192283,Masters,14,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,80,United-States,1
62,Private,122246,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Female,8614,0,39,United-States,1
41,State-gov,109762,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
17,Private,159299,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,0
32,Private,157289,HS-grad,9,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,0,0,40,United-States,0
25,Private,28008,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
28,Self-emp-not-inc,33035,12th,8,Divorced,Other-service,Unmarried,White,Female,0,0,30,United-States,0
24,Private,182163,11th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,Germany,0
50,Local-gov,212685,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,0
48,State-gov,122086,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
19,Private,55284,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,25,United-States,0
53,State-gov,58913,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,42,United-States,1
39,Private,356838,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,12,United-States,0
23,Private,239322,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
27,Private,132326,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
60,Private,193235,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,24,United-States,0
41,Private,207375,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,0
29,Private,338270,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
23,Private,260617,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
35,Private,213208,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,Black,Male,0,0,38,Jamaica,0
37,Private,160120,Masters,14,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,0,0,40,South,0
45,Private,331643,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
43,State-gov,308498,HS-grad,9,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
32,Private,121634,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,Mexico,0
67,Self-emp-inc,81413,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
34,Private,158615,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
43,Private,130126,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,1
42,Private,303155,Assoc-acdm,12,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
30,Private,345705,Some-college,10,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,40,United-States,0
43,Local-gov,413760,Some-college,10,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,0
43,State-gov,125405,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
29,Self-emp-not-inc,341672,HS-grad,9,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,0,1564,50,India,1
43,Private,221172,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,24,United-States,1
44,Private,182370,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
38,Private,117528,Bachelors,13,Never-married,Other-service,Other-relative,White,Female,0,0,45,United-States,0
28,Private,398918,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,0
26,Private,343506,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States,0
45,Self-emp-not-inc,106110,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,99,United-States,0
47,Local-gov,352614,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1
32,Federal-gov,566117,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
19,Private,195805,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0
41,Local-gov,160893,Preschool,1,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,30,United-States,0
57,Private,104996,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,42,United-States,0
54,State-gov,32778,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
37,Private,186191,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,46,United-States,0
